uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:62,skos:Concept,62,colt:secundairekenmerktypes,,kleiige banken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:79,skos:Concept,79,colt:secundairekenmerktypes,,kleisteenklasten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:82,skos:Concept,82,colt:secundairekenmerktypes,,kleisteenlenzen / -banken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:12,skos:Concept,12,colt:secundairekenmerktypes,,koolklasten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:10,skos:Concept,10,colt:secundairekenmerktypes,,koolstrepen,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:25,skos:Concept,25,colt:secundairekenmerktypes,,korrelig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:85,skos:Concept,85,colt:secundairekenmerktypes,,krijtklasten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:67,skos:Concept,67,colt:secundairekenmerktypes,,kristallijn,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:29,skos:Concept,29,colt:secundairekenmerktypes,,kwartshoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:24,skos:Concept,24,colt:secundairekenmerktypes,,kwartsietisch,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:54,skos:Concept,54,colt:secundairekenmerktypes,,lemig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:55,skos:Concept,55,colt:secundairekenmerktypes,,ligniethoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:53,skos:Concept,53,colt:secundairekenmerktypes,,limoniet- / ijzerhoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:66,skos:Concept,66,colt:secundairekenmerktypes,,markasietknollen,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:43,skos:Concept,43,colt:secundairekenmerktypes,,marmering / spikkeling,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:63,skos:Concept,63,colt:secundairekenmerktypes,,mergelige banken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:56,skos:Concept,56,colt:secundairekenmerktypes,,micahoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:0,skos:Concept,0,colt:secundairekenmerktypes,,onbepaald,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:72,skos:Concept,72,colt:secundairekenmerktypes,,onregelmatige verkiezeling (concreties),,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:33,skos:Concept,33,colt:secundairekenmerktypes,,ontkalkt,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:16,skos:Concept,16,colt:secundairekenmerktypes,,paleosol / gesloten bedding,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:15,skos:Concept,15,colt:secundairekenmerktypes,,poreus,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:41,skos:Concept,41,colt:secundairekenmerktypes,,psammitisch,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:86,skos:Concept,86,colt:secundairekenmerktypes,,pyriet,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:37,skos:Concept,37,colt:secundairekenmerktypes,,pyrietknol / laag,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:45,skos:Concept,45,colt:secundairekenmerktypes,,septaria,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:7,skos:Concept,7,colt:secundairekenmerktypes,,sferosideriet,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:2,skos:Concept,2,colt:secundairekenmerktypes,,siderietband,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:77,skos:Concept,77,colt:secundairekenmerktypes,,sideriethoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:3,skos:Concept,3,colt:secundairekenmerktypes,,siderietknol / siderietlens,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:42,skos:Concept,42,colt:secundairekenmerktypes,,silikaathoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
